tensao,gas,corrente
240.0,413,2.99
235.0,413,3.00
230.0,413,3.01
225.0,413,3.00
220.0,413,3.10
215.5,413,3.12
215.0,413,3.15
210.0,413,3.22
205.0,413,3.29
200.0,413,3.35
195.0,413,3.41
190.0,413,3.53
185.0,413,3.59
180.0,413,3.76
175.0,413,3.86
170.0,413,4.04
240.0,472,3.29
235.0,472,3.31
230.0,472,3.33
225.0,472,3.36
220.0,472,3.41
216.0,472,3.45
215.0,472,3.46
210.0,472,3.53
205.0,472,3.60
200.0,472,3.69
195.0,472,3.79
190.0,472,3.90
185.0,472,4.02
180.0,472,4.15
175.0,472,4.29
170.0,472,4.44
240.0,531,3.43
235.0,531,3.44
230.0,531,3.47
225.0,531,3.50
220.0,531,3.55
215.5,531,3.60
215.0,531,3.61
210.0,531,3.68
205.0,531,3.75
200.0,531,3.85
195.0,531,3.95
190.0,531,4.06
185.0,531,4.19
180.0,531,4.32
175.0,531,4.47
170.0,531,4.63
240.0,590,3.43
235.0,590,3.44
230.0,590,3.47
225.0,590,3.5
220.0,590,3.55
215.0,590,3.61
214.7,590,3.61
210.0,590,3.67
205.0,590,3.75
200.0,590,3.85
195.0,590,3.95
190.0,590,4.06
185.0,590,4.19
180.0,590,4.32
175.0,590,4.47
170.0,590,4.63
240.0,649,3.49
235.0,649,3.50
230.0,649,3.52
225.0,649,3.56
220.0,649,3.61
215.0,649,3.67
212.4,649,3.70
210.0,649,3.73
205.0,649,3.82
200.0,649,3.91
195.0,649,4.01
190.0,649,4.13
185.0,649,4.25
180.0,649,4.39
175.0,649,4.54
170.0,649,4.70
240.0,708,3.51
235.0,708,3.53
230.0,708,3.55
225.0,708,3.59
220.0,708,3.63
215.0,708,3.69
213.0,708,3.72
210.0,708,3.76
205.0,708,3.85
200.0,708,3.94
195.0,708,4.04
190.0,708,4.16
185.0,708,4.29
180.0,708,4.43
175.0,708,4.58
170.0,708,4.74
240.0,767,3.56
235.0,767,3.58
230.0,767,3.60
225.0,767,3.64
220.0,767,3.69
215.0,767,3.75
213.9,767,3.76
210.0,767,3.82
205.0,767,3.90
200.0,767,3.99
195.0,767,4.10
190.0,767,4.22
185.0,767,4.35
180.0,767,4.49
175.0,767,4.64
170.0,767,4.81
